idnamematches
101	101	NONE
103	103	NONE
psi-stalker-r-c-c	Psi-Stalker R.C.C.	lib/occs/psi-stalker-r-c-c.lpc
105	105	NONE
106	106	NONE
107	107	NONE
108	108	NONE
111	111	NONE
at-second-level-the-psychic-can-select-a-total-of-three-powers-from	At second level the psychic can select a total of three powers from	NONE
112	112	NONE
114	114	NONE
115	115	NONE
will-not-prevent-psychic-attacks-or-the-creature-s-use-of-its-natural	will not prevent psychic attacks or the creature's use of its natural	NONE
116	116	NONE
sensitive	SENSITIVE	NONE
119	119	NONE
121	121	NONE
122	122	NONE
125	125	NONE
127	127	NONE
128	128	NONE
a-demon-from-a-rift	A demon from a rift	NONE
xiticix-aliens	Xiticix Aliens	NONE
art-by-kevin-long	Art by Kevin Long	NONE
a-world-overview	A World Overview	NONE
137	137	NONE
138	138	NONE
140	140	NONE
reason-is-that-two-dozen-ley-lines-slice-through-the-ruins-and-a-ley-line	reason is that two dozen ley lines slice through the ruins and a ley line	NONE
missouri-government-and-a-major-military-base-equipped-with-a-full	Missouri government and a major military base equipped with a full	NONE
144	144	NONE
145	145	NONE
146	146	NONE
149	149	NONE
150	150	NONE
151	151	NONE
152	152	NONE
a-pair-of-full-conversion-borgs-stalk-among-the-rums-of-an-ancient-city	A pair of full conversion "Borgs" stalk among the rums of an ancient city	NONE
a-cyber-knight-and-a-d-bee-companion-ride-through-a-snow-covered-forest	A cyber-knight and a D-Bee companion ride through a snow covered forest	NONE
a-mystic-drurd-tar-from-her-home-in-england	A mystic drurd tar from her home in England	NONE
coalition-samas-power-armor-in-action	Coalition SAMAS power armor in action	NONE
chi-town	Chi-Town	NONE
heart-sudbury	Heart (Sudbury)	NONE
colors-by-adam-and-kevin-siembieda	Colors by Adam and Kevin Siembieda	NONE
north-america-is-mostly-wilderness-with-the-greatest-human-popu	North America is mostly wilderness with the greatest human popu-	NONE
map-of-the	Map of the	NONE
13-pecos-empire	13 Pecos Empire	NONE
supernatural-beings-and-creatures-from-the-rifts	supernatural beings and creatures from the rifts	NONE
map-of-england	Map of England	NONE
monsters	monsters	NONE
art-by-larry-macdougall	Art by Larry MacDougall	NONE
a-typical-operator-in-traveling-clothes-a-wild-psi-stalker	A typical "Operator' in traveling clothes A wild "Psi-stalker "	NONE
161	161	NONE
163	163	NONE
learning-spells	Learning Spells	NONE
166	166	NONE
167	167	NONE
168	168	NONE
169	169	NONE
171	171	NONE
173	173	NONE
176	176	NONE
177	177	NONE
178	178	NONE
181	181	NONE
182	182	NONE
level-twelve	LEVEL TWELVE	NONE
amulet	Amulet	NONE
186	186	NONE
187	187	NONE
both-the-stone-and-iron-golems-are-mystical-mega-damage-creatures	Both the stone and iron golems are mystical mega-damage creatures	NONE
189	189	NONE
190	190	NONE
the-coalition-states-cs-have-a-standardized-army-with-standard	The Coalition States (CS) have a standardized army with standard	NONE
visionaries-who-helped-to-build-the-industrial-city-out-of-the-ashes-of	visionaries who helped to build the industrial city out of the ashes of	NONE
191	191	NONE
192	192	NONE
the-essay-continues-with-references-to-hitler-s-genius-and-his	The essay continues with references to Hitler's genius and his	NONE
c-27-heavy	C-27 Heavy	NONE
203	203	NONE
c-27-heavy	C-27 Heavy	NONE
204	204	NONE
207	207	NONE
mega-damage-capacity	Mega-Damage Capacity	NONE
209	209	NONE
the-plastic-man	The Plastic-Man	NONE
the-urban-warrior	The Urban Warrior	NONE
210	210	NONE
the-huntsman	The Huntsman	NONE
213	213	NONE
215	215	NONE
219	219	NONE
glitter-boy-pilot-helmet	GLITTER BOY PILOT HELMET	NONE
visual-targeting	VISUAL TARGETING	NONE
sensor-mode	SENSOR MODE	NONE
gun-elevation	GUN ELEVATION	NONE
targeting-sight	TARGETING SIGHT	NONE
distance-to-target	DISTANCE TO TARGET	NONE
armored-head-instrumentation	ARMORED HEAD INSTRUMENTATION	NONE
rroximity-alert	RROXIMITY ALERT	NONE
microphone	MICROPHONE	NONE
water-nutrient	WATER NUTRIENT	NONE
reactor-and	REACTOR AND	NONE
220	220	NONE
glitter-boy	GLITTER BOY	NONE
retractable-gun-grip-ammunition-drum	RETRACTABLE GUN GRIP AMMUNITION DRUM	NONE
reload-access	RELOAD ACCESS	NONE
casing-ejector-laser-targeter	CASING-EJECTOR LASER TARGETER	NONE
ammunition-sight-array	AMMUNITION SIGHT ARRAY	NONE
passive	PASSIVE	NONE
infra-red	(INFRA-RED)	NONE
221	221	NONE
glitter-boy	GLITTER BOY	NONE
telescoping-anti-sway-pylons-with-laser-drill	TELESCOPING-ANTI-SWAY PYLONS (WITH LASER DRILL)	NONE
anti-sway-pylons-and-toe-hook	ANTI-SWAY PYLONS AND TOE HOOK	NONE
return-to-original-position	RETURN TO ORIGINAL POSITION	NONE
laser-drill	LASER DRILL	NONE
222	222	NONE
the-automatic-stabilization-system-is-a-synchronized-system-of	The automatic stabilization system is a synchronized system of	NONE
223	223	NONE
224	224	NONE
225	225	NONE
c-40r-coalition	C-40R Coalition	NONE
226	226	NONE
the-wastelander	The Wastelander	NONE
the-highway-man	The Highway-Man	NONE
the-northern	The Northern	NONE
228	228	NONE
cybernetics-in-the	Cybernetics in the	NONE
229	229	NONE
cybernetic-augmentation-mechanisms	Cybernetic Augmentation Mechanisms	NONE
sensory-implants	Sensory Implants	NONE
230	230	NONE
231	231	NONE
232	232	NONE
233	233	NONE
black-market	Black Market	NONE
black-market-prices	Black Market Prices	NONE
236	236	NONE
bionics	Bionics	NONE
